functional_area,program_name,run_id,table_name,source_record_count,ignored_record_count,orphan_record_count,source_considered_count,source_errored_count,source_converted_count,quarter
Buy-In,BUY_MS_MMA_RESPONSE           ,TST12     ,b_mma_response_tb             ,1611493,1273586,-1                 ,337907,8,337899, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST15     ,b_mma_response_tb             ,4903459,4396030,-1                 ,507429,28,507401, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST17     ,b_mma_response_tb             ,4903459,4396030,-1                 ,507429,28,507401, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST18     ,b_mma_response_tb             ,4903459,4396030,-1                 ,507429,28,507401, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST19     ,b_mma_response_tb             ,6556389,6047974,-1                 ,508415,40,508375, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST20     ,b_mma_response_tb             ,6556389,6047974,-1                 ,508415,40,508375, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST21     ,b_mma_response_tb             ,6556389,6047974,-1                 ,508415,40,508375, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST23     ,b_mma_response_tb             ,6556389,6047974,-1                 ,508415,40,508375, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST25     ,b_mma_response_tb             ,6556389,6047974,-1                 ,508415,40,508375, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST27     ,b_mma_response_tb             ,8213429,7704232,-1                 ,509197,52,509145, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST28     ,b_mma_response_tb             ,8213429,7704232,-1                 ,509197,52,509145, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST30     ,b_mma_response_tb             ,8213429,7704236,-1                 ,509193,47,509146, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST32     ,b_mma_response_tb             ,8213429,7704236,-1                 ,509193,47,509146, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST34     ,b_mma_response_tb             ,9875303,9365025,-1                 ,510278,63,510215, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST36     ,b_mma_response_tb             ,9875303,9365025,-1                 ,510278,63,510215, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST38     ,b_mma_response_tb             ,9875303,9365025,-1                 ,510278,63,510215, 
Buy-In,BUY_MS_MMA_RESPONSE           ,UAT01     ,b_mma_response_tb             ,798220,628498,-1                 ,169722,1,169721, 
Buy-In,BUY_MS_MMA_RESPONSE           ,UAT02     ,b_mma_response_tb             ,798220,628498,-1                 ,169722,1,169721, 
Buy-In,BUY_MS_MMA_RESPONSE           ,UAT03     ,b_mma_response_tb             ,1611493,1273586,-1                 ,337907,3,337904, 
Buy-In,BUY_MS_MMA_RESPONSE           ,UAT05     ,b_mma_response_tb             ,6556389,6047974,-1                 ,508415,40,508375, 
Buy-In,BUY_MS_OUTBOUND               ,ALL02     ,b_mcare_outbound_merge        ,165415,0,0,165415,9,165406, 
Buy-In,BUY_MS_OUTBOUND               ,FINAL1    ,b_mcare_outbound_merge        ,562535,0,0,562535,49,562486, 
Buy-In,BUY_MS_OUTBOUND               ,FINAL2    ,b_mcare_outbound_merge        ,707244,0,0,707244,61,707183, 
Buy-In,BUY_MS_OUTBOUND               ,MOD03     ,b_mcare_outbound_merge        ,111053,0,0,111053,6,111047, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM01    ,b_mcare_outbound_merge        ,60715,0,0,60715,0,60715, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM02    ,b_mcare_outbound_merge        ,39994,0,0,39994,0,39994, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM03    ,b_mcare_outbound_merge        ,58701,0,0,58701,0,58701, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM04    ,b_mcare_outbound_merge        ,58701,0,0,58701,0,58701, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM05    ,b_mcare_outbound_merge        ,37243,0,0,37243,0,37243, 
Buy-In,BUY_MS_OUTBOUND               ,TRAD01    ,b_mcare_outbound_merge        ,74860,0,0,74860,0,74860, 
Buy-In,BUY_MS_OUTBOUND               ,TST03     ,b_mcare_outbound_merge        ,20721,0,0,20721,0,20721, 
Buy-In,BUY_MS_OUTBOUND               ,TST04     ,b_mcare_outbound_merge        ,20721,0,0,20721,0,20721, 
