functional_area,program_name,run_id,table_name,target_record_count,quarter
Buy-In,BUY_MS_OUTBOUND               ,TST08     ,t_buy_partb_outbound          ,92000, 
Buy-In,BUY_MS_OUTBOUND               ,TST09     ,t_buy_partb_outbound          ,55088, 
Buy-In,BUY_MS_OUTBOUND               ,TST09     ,t_buy_parta_outbound          ,487, 
Buy-In,BUY_MS_OUTBOUND               ,TST10     ,t_buy_partb_outbound          ,18176, 
Buy-In,BUY_MS_OUTBOUND               ,TST12     ,t_buy_partb_outbound          ,74236, 
Buy-In,BUY_MS_OUTBOUND               ,TST12     ,t_buy_parta_outbound          ,620, 
Buy-In,BUY_MS_OUTBOUND               ,TST15     ,t_buy_parta_outbound          ,1327, 
Buy-In,BUY_MS_OUTBOUND               ,TST15     ,t_buy_partb_outbound          ,164079, 
Buy-In,BUY_MS_OUTBOUND               ,TST17     ,t_buy_partb_outbound          ,164079, 
Buy-In,BUY_MS_OUTBOUND               ,TST17     ,t_buy_parta_outbound          ,1327, 
Buy-In,BUY_MS_OUTBOUND               ,TST18     ,t_buy_partb_outbound          ,164079, 
Buy-In,BUY_MS_OUTBOUND               ,TST18     ,t_buy_parta_outbound          ,1327, 
Buy-In,BUY_MS_OUTBOUND               ,TST19     ,t_buy_partb_outbound          ,236056, 
Buy-In,BUY_MS_OUTBOUND               ,TST19     ,t_buy_parta_outbound          ,1910, 
Buy-In,BUY_MS_OUTBOUND               ,TST20     ,t_buy_partb_outbound          ,236056, 
Buy-In,BUY_MS_OUTBOUND               ,TST20     ,t_buy_parta_outbound          ,1910, 
Buy-In,BUY_MS_OUTBOUND               ,TST21     ,t_buy_parta_outbound          ,1910, 
Buy-In,BUY_MS_OUTBOUND               ,TST21     ,t_buy_partb_outbound          ,236056, 
Buy-In,BUY_MS_OUTBOUND               ,TST23     ,t_buy_partb_outbound          ,236056, 
Buy-In,BUY_MS_OUTBOUND               ,TST23     ,t_buy_parta_outbound          ,1910, 
Buy-In,BUY_MS_OUTBOUND               ,TST25     ,t_buy_partb_outbound          ,236056, 
Buy-In,BUY_MS_OUTBOUND               ,TST25     ,t_buy_parta_outbound          ,1910, 
Buy-In,BUY_MS_OUTBOUND               ,TST27     ,t_buy_partb_outbound          ,325597, 
Buy-In,BUY_MS_OUTBOUND               ,TST27     ,t_buy_parta_outbound          ,2651, 
Buy-In,BUY_MS_OUTBOUND               ,TST28     ,t_buy_parta_outbound          ,2651, 
Buy-In,BUY_MS_OUTBOUND               ,TST28     ,t_buy_partb_outbound          ,325597, 
Buy-In,BUY_MS_OUTBOUND               ,TST30     ,t_buy_parta_outbound          ,2651, 
Buy-In,BUY_MS_OUTBOUND               ,TST30     ,t_buy_partb_outbound          ,325597, 
Buy-In,BUY_MS_OUTBOUND               ,TST32     ,t_buy_parta_outbound          ,2651, 
Buy-In,BUY_MS_OUTBOUND               ,TST32     ,t_buy_partb_outbound          ,325597, 
Buy-In,BUY_MS_OUTBOUND               ,TST34     ,t_buy_parta_outbound          ,3528, 
Buy-In,BUY_MS_OUTBOUND               ,TST34     ,t_buy_partb_outbound          ,432656, 
Buy-In,BUY_MS_OUTBOUND               ,TST36     ,t_buy_partb_outbound          ,432656, 
Buy-In,BUY_MS_OUTBOUND               ,TST36     ,t_buy_parta_outbound          ,3528, 
Buy-In,BUY_MS_OUTBOUND               ,TST38     ,t_buy_partb_outbound          ,432656, 
Buy-In,BUY_MS_OUTBOUND               ,TST38     ,t_buy_parta_outbound          ,3528, 
Buy-In,BUY_MS_OUTBOUND               ,UAT01     ,t_buy_partb_outbound          ,36912, 
Buy-In,BUY_MS_OUTBOUND               ,UAT01     ,t_buy_parta_outbound          ,331, 
Buy-In,BUY_MS_OUTBOUND               ,UAT02     ,t_buy_partb_outbound          ,36912, 
Buy-In,BUY_MS_OUTBOUND               ,UAT02     ,t_buy_parta_outbound          ,331, 
Buy-In,BUY_MS_OUTBOUND               ,UAT03     ,t_buy_partb_outbound          ,74240, 
Buy-In,BUY_MS_OUTBOUND               ,UAT03     ,t_buy_parta_outbound          ,620, 
Buy-In,BUY_MS_OUTBOUND               ,UAT05     ,t_buy_partb_outbound          ,236056, 
Buy-In,BUY_MS_OUTBOUND               ,UAT05     ,t_buy_parta_outbound          ,1910, 
Claims,CLM_MS_DNTL                   ,ALL01     ,t_hist_directory              ,151849,1401
Claims,CLM_MS_DNTL                   ,ALL01     ,t_hist_directory              ,149136,1304
Claims,CLM_MS_DNTL                   ,ALL01     ,t_hist_directory              ,185046,1403
Claims,CLM_MS_DNTL                   ,ALL01     ,t_hist_directory              ,184504,1404
Claims,CLM_MS_DNTL                   ,ALL01     ,t_hist_directory              ,177212,1501
Claims,CLM_MS_DNTL                   ,ALL01     ,t_hist_directory              ,185205,1502
Claims,CLM_MS_DNTL                   ,ALL01     ,t_hist_directory              ,251058,1503
